raw_name,berth,ticker,is_hai_phong,type,zone
"SHEKOU, CHINA",Trung Quốc,,false,foreign,
XN CKTT C128,Cảng 128,,true,berth,thuong_nguon
BEN HANG HOA HAI DUONG,Hải Dương,,false,external,
"XIAMEN, CHINA",Trung Quốc,,false,foreign,
"DONGGUAN, CHINA",Trung Quốc,,false,foreign,
CANADA,Canada,,false,foreign,
VINH TAN,Vĩnh Tân,,false,external,
HUNG YEN,Hưng Yên,,false,external,
SRI LANKA,Sri Lanka,,false,foreign,
KAOHSIUNG,Kaohsiung,,false,foreign,
LAEM CHABANG,Laem Chabang,,false,foreign,
BINH DUONG,Bình Dương,,false,external,
BINH DINH,Bình Định,,false,external,
SOC TRANG,Sóc Trăng,,false,external,
TRA VINH,Trà Vinh,,false,external,
KIEN GIANG,Kiên Giang,,false,external,
VUNG RO,Vũng Rô,,false,external,
THI VAI,Thị Vải,,false,external,
TANCANG CAI MEP TVAI,Cái Mép,,false,external,
TAN CANG HIEP PHUOC,Hiệp Phước,,false,external,
SPCT,SPCT,,false,external,
QT LONG SON,Long Sơn,,false,external,
CANG QT LONG SON,Long Sơn,,false,external,
TRUONG AN,Trường An,,false,external,
HOA DONG,Hòa Đồng,,false,external,
PHU THAI,Phú Thái,,false,external,
DONG HAI,Đông Hải,,false,external,
LONG BINH,Long Bình,,false,external,
VINH XUONG,Vĩnh Xương,,false,external,
HON KHOI,Hòn Khói,,false,external,
THUONG PHUOC,Thường Phước,,false,external,
